概念名,一行で言うと,発動する場面,出典,自分の体験との接点,登録日,引っかかり日記
共有環境の影響は意外と小さい（行動遺伝学的知見）,親の養育環境が子の人格・能力に与える影響は、直感より小さく、土台と機会と関係性の提供という役割再定義が要る,「親の環境設計次第で子が決まる」と強く信じそうになる時／他の家庭の子の行動からその家庭の機能を断じそうになる時／自分の子の発達を自分の育て方の通信簿として読みそうになる時／自分の育ちを親の責任として整理しすぎている時,Robert Plomin『Blueprint』(2018). 行動遺伝学50年の総説。双子研究で人格形成は遺伝40-50%、非共有環境30-40%、共有環境（家庭・親）は驚くほど小さい。Judith Rich Harris『The Nurture Assumption』(1998)も同じ知見。「親はどうでもいい」ではなく「親は土台・機会・関係性の提供者であり、子を作り上げる職人ではない」という再定義。,2026/5/7 引っ越し検討の文脈で、自分の中の「親の環境設計次第」という信念の強さを観察。これが他家庭への評価として漏れていた。教育者の信念と親の振る舞いを分ける必要を認識。,2026/5/7,Day10
having mode vs being mode,経験を所有・消費・評価する側に立つ生き方と、経験そのものに溶け生成する側に立つ生き方の根本的な区別,自分や他人が「サービスの受け手」視点でしか物事を語っていない時／没頭体験が事後に「やってよかった」より「コスパどうだった」で評価されている時／子どもや生徒が体験を消費的に処理しているように見える時／参加者が場に溶けて生成側に回った瞬間を見つけた時,Erich Fromm『To Have or To Be?』(1976). 現代人の生き方を二つのモードで整理。Csikszentmihalyi『Flow』(1990)はbeing modeの心理学的記述。Max Weber『プロテスタンティズムの倫理』(1905)はhaving mode的労働観の歴史的起源。Byung-Chul Han『疲労社会』(2010)は達成感に浸る時間が削られる現代を批判。,2026/5/8 没頭の素晴らしさが世に広まらない理由を考察。サービスの受け手視点（having mode）に偏った社会で、生成側に立つ筋肉（being mode）が痩せている、というのが構造的な答え。キープオン・CLAFTの取り組みの本質的な意義を言語化できた。,2026/5/8,Day11
positions vs interests（立場と利害の分離）,人は手段（立場）でぶつかるが、目的（利害）まで降りるとそこで重なる部分が必ず見つかる、という対話の構造原理,誰かと意見が割れた瞬間、相手の主張を「なぜそれを欲しているのか」まで降ろす前に反論しそうになった時／会議で平行線が続いている時／自分が「これは譲れない」と感じた時、それが本当の目的か一手段かを確認したい時／Yononakaで参加者が議論モードに入ってしまった時,"Roger Fisher & William Ury『Getting to Yes』(1981, ハーバード交渉プロジェクト). ""positions""と""interests""の分離が中核概念。『ハーバード流交渉術』として知られる。Habermasの「コミュニケーション的合理性」、William Perryの発達段階論（運用できるのはRelativism with Commitment段階）も関連。",2026/5/9 自分の意見が明確化してきた中で、他者とのズレへの対処を整理。手段と目的を分けることで、対立を「ルートの違い」として捉え直せた。認識論的発達の階段を一段上がった自覚と、その先の罠への警戒も得た。,2026/5/9,Day12
守破離,型を完璧に守る段階・型を破る段階・型から離れて自分の型を作る段階という、創造性の発達順序,新しいことを始める初回、いきなりアレンジしたくなった時／自分やスクール生が「自由に発想していい」と言われて何も生まれない時／「型通りやれ」が長すぎて破に行く機会を奪われている時／PBLでどこまで型を渡しどこから自由にさせるかの判断が必要な時／事業の新規立ち上げでvalidate前にひねりたい衝動が湧いた時,千利休の和歌「規矩作法 守り尽くして 破るとも 離るるとても 本を忘るな」が原典。世阿弥『風姿花伝』の「序破急」とも近縁。Dreyfusの技能習得モデル、Anders Ericssonのdeliberate practice研究、Eric Ries『The Lean Startup』の「validate→pivot」も同じ構造。,2026/5/10 久しぶりの料理でレシピを完全に守れず、変えなくていい場所まで変えてしまった経験。創造衝動が強みでありリスクでもあることを認識。「目的が型の習得なら守、目的がオリジナル創出なら破」のルールを運用する方針。,2026/5/10,Day13
構成的悔やみ vs 道具的後悔,過去への悔やみには「あの経験がなければ今の私はいない（構成的）」と「あの選択をしなければもっと効率的に今に到達できた（道具的）」の二種類があり、混同すると不要な自己否定が生まれる,過去の自分の言動が今から見て「意味不明」「無駄だった」と感じる時／成長を実感した直後に過去への後悔が湧いた時／子どもや若い世代が過去の選択を悔やんでいるのを見た時／自分の事業の過去フェーズを振り返りそうな時,"Søren Kierkegaard 日記(1843)の「人生は前を向いて生きられるが、振り返ることでしか理解できない」が源流。Daniel Gilbert et al.『The End of History Illusion』(Science, 2013)、Hal Hershfield『Your Future Self』(2023)のfuture self continuity研究。Pierre Hadot『Philosophy as a Way of Life』(1995)は反復による深い変化の重要性を説く。",2026/5/11 2022年の自分の必死さを「今から見ると意味不明」と感じることへの違和感を分解。あの時の経験は今の視点を立ち上げるための土台で、構造上無駄ではあり得ない（構成的）。「変わってない深層」を見ると過去との連続性が立ち上がり、後悔の質が変わる。,2026/5/11,Day14
cognitive defusion（認知の脱フュージョン）,思考や感情と一体化せず、それを「今ここで心の中で起きている現象」として一歩引いて観察する技法,強い感情に飲まれそうな時／「私は◯◯だ」と思考と自己を同一化しそうになる瞬間／無意識のナラティブが感情を増幅させていると気づいた時／認識チェンジを試みる前段階としてまず思考から距離を取る必要がある時／クライアントや子どもが感情のループに入っている時,"Steven C. Hayes『Acceptance and Commitment Therapy』(1999, ACT). 第三世代認知行動療法の中核技法。Daniel Kahnemanのpeak-end ruleは事実とナラティブのズレの説明。Mark SavickasのAuthor機能はdefusion後の意味編集に対応。健康な順序は「感じ切る→脱フュージョン→意味編集」で、過度に早い意味編集はspiritual bypassingの危険がある。",2026/5/12-13 認識チェンジ（Day15、Author機能）とナラティブからの脱却（Day16、defusion）が対になることに気づいた2日間。サビカス理論のAuthor機能とACTのcognitive defusionが、自分の実践の理論的バックボーンとして繋がった。,2026/5/13,Day15・Day16
Tiny Habits（微小習慣の設計原理）,習慣化の成否は意志や目的ではなく「失敗からの復帰ルート」「行為自体の心地よさ」「最小単位での開始」の3つの設計で決まる,新しい習慣を始める時／過去に続かなかった習慣を再開する時／クライアントや子ども・スクール生に何かを継続させたい時／自分が完璧主義のスイッチを入れそうになった瞬間／Notion・ジャーナル・運動など自己管理ツールを導入する時,"BJ Fogg『Tiny Habits』(2019, スタンフォード行動デザイン研究所所長). 意志力依存ではなく環境設計と最小単位の積み重ねを重視。Charles Duhigg『The Power of Habit』(2012)は習慣のループ。James Clear『Atomic Habits』(2018)は実装フレーム。Yerkes-Dodson法則とVygotskyの最近接発達領域も支持。",2026/5/14 自己理解（好奇心強・長期管理苦手）を運用（週1点検）に翻訳した日。自分の特性を尊重した上で最小限の構造を入れる設計に到達。続かない時の対策として失敗復帰ルート・環境快楽化・項目最小化の3点を装備。,2026/5/14,Day17
異化（ostranenie / defamiliarization）,新しいものを提示するのではなく、見慣れたものを見慣れぬものとして提示し直すことで、新しい認識を生む技法,「最新トレンドを早くキャッチして発信」というSNS的競争に消耗を感じた時／自分の過去の趣味・経験・地元・専門分野を「もう古い」と切り捨てそうになった瞬間／すでに知られているテーマで自分なりの新しい角度を提示できると確信した時／教育や対話の場で参加者の認識を一段ずらしたい時,"Viktor Shklovsky『芸術としての手法』(1917, ロシア・フォルマリズム). 「芸術の目的は認識を新たにすること」が原典命題。Adam Grant『Originals』(2016)、Rory Sutherland『Alchemy』(2019)「物質を変えるのではなく知覚を変える」。Pierre Bourdieu『La Distinction』(1979)は卓越化ゲーム批判。星野リゾート、Warby Parker、Appleが実装事例。",2026/5/15 「新しいものを取って優越する」構造への違和感から、「既存のものに新視点を生成する」差別化アプローチへの転換を着想。自分のストック（音楽・コーヒー・サウナ・阪神・八尾・教育）を異化のレンズで再記述する方向性を得た。,2026/5/15,Day18
ユーモアは絶望の上位段階,深刻な状況に飲み込まれず、それを客体化して笑える距離を持つことは、感情処理の最も高度な段階の一つである,自分や他者が失敗・挫折・思い通りにいかない状況に直面した時／重いテーマを伝えなければならないが相手を圧倒したくない時／教育・ファシリテーションの場で参加者が萎縮しているのを和らげたい時／自分自身が突き詰め型の思考で煮詰まりそうな時,Søren Kierkegaard『不安の概念』(1844)で「ユーモアは絶望の上位段階」と提示。Robin Dunbar『Laughter and Endorphin Production』(2012)が笑いの内因性オピオイド系活性化を実証。Brené Brown『Daring Greatly』(2012)が恥の解毒剤としての笑い。Frankl『夜と霧』、桂枝雀の「緊張の緩和」理論も同じ知恵。,2026/5/16 友達の脆さを観察する中で、お笑いが無料のクスリだと直感。これが医学・哲学・心理学で裏付けられた処方箋であることを確認。自分自身が活動全体で運用している「深刻にならずに深いところに行く」漫才的話法も、同じ構造の延長線上にあると認識。,2026/5/16,Day19
只管打坐／意味追求のパラドックスからの抜け道,意味を求める心そのものが意味からの脱却を阻むという入れ子構造に対し、目的を持たない時間を持つことが唯一の抜け道である,意味や成果を求めすぎて思考が硬くなっていると気づいた時／「これに何の意味があるのか」と自問しすぎて行動が止まりそうな時／西洋OS的な数値・効率思考に偏っている自覚がある時／サウナ・散歩・寝る前など目的を持たない時間を意識的に持ちたい時／クライアントや子どもが「何のためにやってるのか」のループに入っている時,"道元『正法眼蔵』(1231-1253)の「只管打坐」が原典。Michael Polanyi『The Tacit Dimension』(1966)の暗黙知 ""We can know more than we can tell""。Pierre Hadot『Philosophy as a Way of Life』(1995)は古代ギリシャ哲学が本来「生き方の実践」だった事実を復元。Jon Kabat-ZinnのMBSR、Eckhart Tolle『The Power of Now』も同系譜。",2026/5/17 身体知を言語化することの意味を問い、その問いそのものが硬い思考の発動だと気づくループを観察。「あぁ眠たい、やっと寝れる」を1日の指標として設定。having modeからbeing modeへの転換を日々の自己点検として実装。サウナ習慣もこの系列上にある身体OSへの帰還ルート。,2026/5/17,Day20
悪の凡庸さ／自律思考の予防接種としての教育,戦争や虐殺を可能にするのは極悪人ではなく自律的思考を放棄した普通の人々であり、自律を育てる教育はそれへの予防接種である,自分の事業の意味を社会的文脈で位置付け直したい時／教育の価値を「就職に有利」以外の言葉で語る必要がある時／流行を追わずに本質に投資し続ける判断の根拠が欲しい時／戦争・差別・組織の暴走など社会的悪が立ち上がる構造を分析したい時／Yononakaやキャリコンで「なぜ自分の頭で考えるのか」を伝える必要がある時,Hannah Arendt『エルサレムのアイヒマン』(1963). 大量虐殺の指揮者が自律思考を放棄した凡庸な役人だったという発見。Erich Fromm『自由からの逃走』(1941)はself-authorship育成を予防の道と位置付ける。Graham Allison『Destined for War』(2017)はトゥキディデスの罠。丸山眞男『日本の思想』の「無責任の体系」も日本版分析。,2026/5/18 深井龍之介さんの問題提起をきっかけに、キープオン・CLAFTの活動が戦争予防の予防アクションであると自信を持って言語化できた。Day1〜20で扱ってきたテーマが「自律した個人を育てる」軸に収斂することを確認。事業ミッションが20世紀政治哲学の最重要命題と一致するという確信を得た日。,2026/5/18,Day21
category design（カテゴリーデザイン経営）,既存カテゴリーの中で競争するのではなく、自分が定義する新カテゴリーを作った者だけが、価格競争から抜け出して長く太い顧客を持てる,自分の事業や活動が「数ある選択肢の一つ」として比較されそうな時／既存業界のフレーム（学習塾・習い事・コンサルなど）に押し込まれて差別化が見えなくなった時／to C事業でランダム発信になりがちな構造への違和感／自分の発信が「他の人と何が違うのか」を一言で言えない時／独自性が言語化できてカテゴリーを定義する自信が立った瞬間,"Lochhead, Ramadan, Peterson『Play Bigger』(2016). カテゴリーキング戦略。Henry Mintzberg『The Rise and Fall of Strategic Planning』(1994)のemergent strategy。Seth Godin『This is Marketing』(2018)のsmallest viable audience。Andrey Mir『Postjournalism』(2020)のbroadcast/social/algorithmic era。星野リゾート、ライフネット生命が事例。",2026/5/19 細木数子フィクションを観てメディア時代の変化を肌感覚で再認識し、その中で自分が提供したい「普遍の価値」を事業戦略として整理。既存の習い事カテゴリーで競争するのではなく「囚われをほぐし、こだわりをひらく場」という独自カテゴリーを定義する方向性を得た。,2026/5/19,Day22
Generativity（生成性）における少年性の再起動,30〜40代のGenerativity段階で、人は次世代に何を残すかを中心課題にしながら、自分の子ども時代の遊びの感覚を再起動させる,30〜40代で「子どもみたいに何かに夢中になっている自分」に気づいた時／親として子と接する中で自分の少年期と再会する感覚があった時／新しい技術や領域に本気でハマっている自分に祝福を見出したい時／起業家・教育者として少年性を失ってきてる自分の老成を点検したい時／子どもに大人として本気で面白がる姿を見せる時,Erik Erikson『Childhood and Society』(1950). 成人期中盤のGenerativity vs Stagnation段階。Sherry Turkle『Alone Together』(2011)はテクノロジーとの関係で立ち上がる自己。Csikszentmihalyi & Seligman『Positive Psychology』(2000)は幸福が生み出す実感に宿ると整理。岡本太郎『自分の中に毒を持て』、佐々木正美『子どもへのまなざし』も関連。,2026/5/20 生成AIへの少年的没入を観察。30近くになってこれほどハマる自分への驚きが、Generativity段階の正統な発動だと位置付けられた。Day1〜22で立てた理想とAI能力の共鳴が興奮の正体。期待感ではなく創造の実感を主軸に置く、少年性を失わない設計を意識する。,2026/5/20,Day23
Deep Work（深い集中時間の戦略資源化）,通知・会議・SNSで断片化される現代において、長時間連続して深く考えられる能力は最も希少な戦略資源である,自分の「内向き時間が長い」性質を欠点として捉えそうになった時／日々のスケジュールから深い思考時間が削られていると気づいた時／外向き型起業家のネットワーキング戦略を真似しようとして違和感を感じた時／自分の事業戦略を性格構造と整合させて立てたい時／内向き型でも事業を成長させる道筋が見えなくなった時,Cal Newport『Deep Work』(2016). 深い集中能力が現代で最も希少なスキル。Susan Cain『Quiet』(2012)は内向型の戦略的優位性。Anders Ericssonのdeliberate practice。宮本武蔵『五輪書』、為末大『熟達論』(2023)も同系譜。Peter Thiel『Zero to One』は「深く考えた人だけが見える領域」を論じる。,2026/5/21 自分の環境（父との経営、自宅近接、新生児、一人作業中心）を欠点ではなく戦略資源として読み替えた日。内向き時間を聖域化し、内向きの成果を外向きに発信する装置を作り、少数濃い関係をプレミアム化する戦略の方向性を得た。性格構造と事業戦略が同じ方向を向いている自覚。,2026/5/21,Day24
arrival fallacy（到着の罠）／観察者の声と鼓舞者の声の共存,目標到達で幸せになると信じる人ほど到達した瞬間に次の目標に飛び移り永遠に到達しない、ただし鼓舞する声と観察する声の両方を持つ人は走り続けられる,「理想に届いていない」「もっと頑張らねば」と焦りを感じた時／自分を奮い立たせる声が自分を観察する声を上書きしそうになった瞬間／ネガティブ感情を「無駄」として切り捨てそうになった時／ストア派的な「行動に戻れ」と仏教的な「感じ切れ」のどちらを取るか迷った時／長期的な事業や人生の走り方を設計したい時,"Tal Ben-Shahar『Happier』(2007)が""arrival fallacy""を概念化。Marcus Aurelius『自省録』、Ryan Holiday『The Obstacle Is the Way』(2014)はストア派。Ellis/Beck/HayesのCBT/ACTは「行動を変える」。Carl Rogers、Jon Kabat-Zinnは逆方向（感じ切る）。Stephen Porges『The Polyvagal Theory』(2011)は身体から整える経路の優位性。",2026/5/22 自己鼓舞の檄文として書いた日。実践哲学の核心と一致する到達であると同時に、spiritual bypassingへの警戒・身体OSへの帰還との接続が必要。「理想に向かう焦り」と「今日の身体感覚への満足」を両立させる運用が、長期的に走り続ける鍵。,2026/5/22,Day25
focused mode と diffuse mode の往復（学習・創造の二モード論）,深く集中するモードと、ぼんやり広く漂うモードを意図的に往復することで、定着と創造の両方が起きる,カリキュラムや学習設計で「集中させる」一辺倒になっている時／逆に「自由にやらせる」だけで定着が起きていない時／自分の仕事で集中時間と散歩・休憩・サウナの時間のバランスを設計したい時／子どもや生徒が「分からない」と止まっている時、別モードへの切り替えが必要な瞬間／創造的なアウトプットが出ない時,"Marcus Raichle (PNAS, 2001)がDMNを発見。Roger Beaty et al. (PNAS, 2018)はDMNとExecutive Control Networkの連携が創造性を予測。Barbara Oakley『A Mind for Numbers』(2014)がfocused/diffuse modeとして翻訳。John Sweller のcognitive load theory、Roediger & Karpicke のtesting effect。Killingsworth & Gilbert (2010)は無制限の拡散モードへの警戒も提示。",2026/5/23 暗記学習批判から始まったが、より精緻には「focusedモード一辺倒の教育設計」批判であり、処方箋は「両モードの往復をカリキュラムに織り込む」こと。CLAFTのカテゴリーデザインに直接活用可能。Day1〜25の蓄積が教育設計思想として収束しつつある。,2026/5/23,Day26
core trait と free trait の区別（性格は変えない、行動だけ設計する）,人は不変の性格の核（core trait）を持ちながら、場面に応じた振る舞い（free trait）を選べるので、修正対象は性格ではなく行動である,自分の性格を「直したい」と思った時／他者の性格を変えようとしている自分に気づいた時／子どもや生徒の気質を矯正しようとしそうになる場面／自分の気質を活かしつつ特定の行動だけ修正したい時／自己改善本の「性格を変えろ」式メッセージへの違和感を整理したい時,"Brian Little『Me, Myself, and Us』(2014). core trait（生得的・不変）とfree trait（場面選択的）の区別。Carl Rogers『On Becoming a Person』(1961)は自己肯定と自己改善の両立。Bob Rotella『Golf is Not a Game of Perfect』と""slow is smooth, smooth is fast""。Sian Beilock『Choke』(2010)はchoking under pressure。Kabat-ZinnのMBSR。",2026/5/24 草野球での手打ちと日常での足指ぶつけから、気質と行動の関係を整理。気質は肯定し、行動だけを修正する方向で運用開始。3秒呼吸・1日1動作のゆっくり練習・身体失敗の認知観察、の3つを実装予定。3ヶ月の時間軸で焦らず進める。,2026/5/24,Day27
eudaimonic well-being（意味と成長を伴う幸福）／「違いを愛せる」倫理,快楽の追求ではなく意味ある活動の副産物として訪れる幸福と、他者の他者性そのものを贈り物として迎えられる倫理的境地は、深く結びついている,自分の今の幸福感の由来を問い直したい時／hedonic（快楽的）な幸福とeudaimonic（意味的）な幸福の違いを実感した瞬間／他者との意見の違いを脅威ではなく贈り物として受け取れた経験／自分が誰かに「ひらく」を強要しそうになっている時／同類が身近に少ないことへの孤独感を希少性として再解釈したい時,Aristotle『ニコマコス倫理学』のeudaimonia。Viktor Frankl『夜と霧』の「幸福は意味ある仕事の副産物」。Ryan & DeciのSelf-Determination Theory、Carol Ryffのpsychological well-being。Emmanuel Levinas『全体性と無限』(1961)は他者の他者性への応答を倫理の中心に。Philip Tetlock『Superforecasting』(2015)。森田正馬の「あるがまま」、鈴木大拙の「不二」も近い。,2026/5/25 自分の幸福が「メタで構造を捉え、違いを愛せる」気質と、それを共有する場（Yononaka 4年間）の蓄積から育ったと自覚。Aristotle以来2500年続く知的・倫理的系譜の現代版の一人として位置付け。同類は「探す」ではなく「灯台になって寄ってくる」設計で運用する。,2026/5/25,Day28
Marketing Myopia（マーケティング近視眼）／こだわりとエゴの履き違え,販売者が自分の専門性・思想・こだわりに夢中になるあまり、顧客が本当に欲している基本的価値を見落とす構造的な罠,自分の事業の売上が伸び悩んだ時、深い戦略の前に基本変数（価格、送料、利便性、信頼性）を点検すべき瞬間／「商品の質で選んでほしい」「本質を分かってくれる人に届けたい」と思っている自分に気づいた時／顧客の合理的な欲求を「妥協」として退けそうになった時／こだわりとエゴを区別する必要がある時,"Theodore Levitt ""Marketing Myopia"" (HBR, 1960). 「ドリルを買う人はドリルではなく穴が欲しい」。Peter Drucker『マネジメント』、Clayton Christensen『Competing Against Luck』(2016)のJobs to Be Done。Kahneman & Tverskyのavailability heuristic。稲盛和夫『生き方』のお客様第一。",2026/5/26 ショップ運営で送料という基本変数を見落としていた事実に気づいた日。深い戦略思考と基本変数の点検は別の作業として分けて時間を取る必要がある。Day13のひねり癖が事業の特定領域に現れていた事例として記録。Day21の「やりたくない手段の排除」と今日の「基本変数の最適化」は両立する。,2026/5/26,Day29
