エントリー,日付,引っかかり（具体的な30秒）,なぜ引っかかったのか,関連概念,次に試すこと,備考
11,2026/5/8 (金),没頭をテーマに掲げ自ら実践しスクール生に伝えていることに意義を感じている。没頭は今を生きている感覚になり、事後の達成感が心地よい。お金や時間の制約があると入りづらく、フリーな状態で現れる。世の大半は没頭を経験しているはずなのに「これこそが生きがい」と気づいていない。サービスの受け手視点でしか物事を捉えていない、オンオフをはっきり分けている、などが理由として浮かぶ。,"没頭の素晴らしさが世に広まらない構造的理由を4層で確認できた。(1)没頭中は自意識が消えるためリアルタイムで認識不可能（Csikszentmihalyi）(2)近代労働観が「仕事=耐える、楽しみ=休日」を刷り込んだ（Weber）(3)教育システムが達成感に浸る時間を削っている（Han）(4)""having mode""ばかり鍛えられて""being mode""の入り方を社会が忘れている（Fromm）。揺さぶり：制約=没頭の敵ではない。自分で選んだ制約はむしろ没頭を生む。",フロー体験 / Paradox of Work（Day7）/ having mode vs being mode / 達成感に浸る時間の儀式化,(a)CLAFTのPBLに「達成感を言葉にする15分」を入れる試行 (b)Yononakaの新テーマ「没頭ってどこから来てる？」を設計 (c)子どもに「自分で選んだ制約は没頭を生む、押し付けられた制約は壊す」の区別を伝える言語を作る,Day1〜9で立ち上がった個別概念が「没頭」という一語で束ね直された節目の日。さらにメタ観察として、この日記そのものが将一郎さんの没頭の実践になっている入れ子構造。
12,2026/5/9 (土),自分の意見が明確になるほど、他者とのズレを修正したくなる衝動が生まれる。でも「そういう意見もあるよね」と一旦受け入れた後に、共通している部分や同じ方向を向ける部分を切り出して話を進めていくのが大事だと感じた。食い違った部分は手段にすぎず、どのルートをたどるかの違いと捉える。最近、自分の頭で考えて納得のいく答えを紡げるようになってきている自覚がある。専門家や多数派の意見を借りて自分の意見にする動きが減ってきた。,これは交渉学のpositions vs interests（手段と目的の分離）と完全に重なる。手段レベルでぶつかるのを止めて、目的レベルで重なりを探す動き。Day2のGenerative Dialogueの実装形でもある。さらに、認識論的発達の段階を一段上がった感覚（PerryのRelativism with Commitment）。揺さぶり：自分の答えを紡げる段階の先に「自分の答えこそ正解」という新しい正解主義の罠がある。,positions vs interests / Generative Dialogue（Day2）/ 認識論的発達 / 内製化された揺さぶり機能,"(a)Yononakaのファシリテーション指針として「手段と目的を分けて聞く」を明文化 (b)CLAFTで中高生に「ズレを感じたら、相手と自分の""なぜそれを欲しているか""を掘る」という対話の型を渡す (c)自分の出した結論に「これは違う角度から見たら、どこが弱いか」を自問する習慣を始める",今日は引っかかりというより到達の報告に近い日。Day1の「正解主義」批判から始まったテーマが、自分の頭で考える段階への到達として結実。同時にその先の罠も認識できた。
13,2026/5/10 (日),久しぶりに料理をしたが、レシピ通りに作れず変えてしまう。ここは変えない方がいい場所まで変えてしまっておかしくなる。アレンジしたい、オリジナルを作りたい、サプライズを自分も他者も感じたい、という思考回路が常に走っている。これは自分の良い部分で居心地もいいが、時と場合による。,変えたい衝動は創造性の核だが、「守破離」の順序を飛ばすと「破」ではなく単なる崩しになる、という伝統知に直結する。「目的と役割を設定してから行動する」を自分で答えとして紡げた。これは事業フェーズの問題でもあり、validate前にひねると命取りになる。料理で味わったことは、CLAFTの教育観・新規事業開発・自分の癖、すべてに通じる構造。,守破離 / validate前のひねり問題 / 目的と役割の事前設定 / 創造性とリスペクトの順序,新しいことをやる初回は守（完全模倣）、二回目以降に破（ひねり）と意図的に切り替えるルールで運用。料理・新規事業・新規ワークショップすべてに適用可能か検証する。,日記の自己リクエストとして「自分の思考回路はどんな人がやってるか、強みは、可能性は」を尋ねた日。起業家×教育×クリエイティブの三角形の真ん中にいる珍しいタイプ、と返ってきた。タグライン候補「正解じゃなく、生成」が浮上。
14,2026/5/11 (月),2022年に必死にやっていたことの目的やゴールが、今の自分から見ると意味不明に感じる。今のビジョンと予測能力があれば、あの行動は取らない。必死だった自分は素敵だと思う一方で、時間を無駄にしたような気持ちも残る。これは2-3年後にも同じことが起きるはずで、「もっとこうできたんじゃないか」が言えるようになることが成長でもあるが、後悔は残る。難しい。,「成長＝過去の自分の否定」になってしまう構造への違和感。キェルケゴールの「人生は前向きに生きるが、振り返ることでしか理解できない」が刺さる。今の視点を持てているのは過去の必死さがあったから、順番が逆。GilbertのEnd of History Illusionを超えて「これからも変化する」と予測できてる時点でレア。区別：道具的後悔（もっと早く到達できたら）と構成的悔やみ（あの経験がなかったら今の私はいない）。自分のは後者で、構造上「無駄」ではあり得ない。,End of History Illusion / 構成的悔やみ vs 道具的後悔 / future self continuity / 反復による人格形成（Hadot）,(a)この日記を3年後に読み返した時の自分を想像し、今日の文章をどう読むかをメモに書く (b)2022年の自分と今の自分で「変わってない深層」をリストアップする (c)後悔が湧いた時「あの経験がなければ今の私はない」と言い換える練習,日記そのものが、過去・現在・未来の自分を地続きに繋ぐ装置として機能している。3年後に読み返した時、無駄とは感じないはず。Hershfieldのfuture self continuity研究が支持する構造。
15,2026/5/12 (火),ひとつの視点から抜け出せない時、出来事や結果を違う見方で捉え、意味合いをずらし、自分にとっていい経験に変える認識チェンジが大事だと感じた。可能性に蓋をするのはもったいない。モチベーションを高く保つために定期的に認識チェンジするスキルが必要。これはサビカス理論のエージェント機能だと整理した。Actor（キャラ）、Agent（方向づけ）、Author（ストーリー化のメタ視点）の3層がキャリア構築理論。,"認識チェンジを自分の仕事の理論的バックボーンと接続できた。ただし揺さぶり：認識チェンジは厳密にはAgentではなくAuthorの仕事。サビカスの""micro-narrative reconstruction""の概念がある。サイクルは「出来事→Author(意味変換)→Agent(行動決定)→Actor(新役割を演じる)」。さらに揺さぶり：過度に早すぎる認識チェンジはspiritual bypassingに滑り、感情を感じ切る前に蓋をする道具になる。",サビカスのActor/Agent/Author / micro-narrative reconstruction / 4C適応力 / spiritual bypassingへの警戒,キャリコンの実務で、クライアントの認識チェンジを「Authorの仕事」として位置づけて支援する。同時に「まず感情を感じ切る」段階を飛ばさないペーシングを設計。自分でも「感じ切る→距離取る→意味編集する」の3段階を意識する。,Day14で扱った時間と自己の問題（過去への悔やみ）も、本質はオーサー機能の発動。Day1〜13で扱ってきた個別概念がサビカス理論の枠組みで再整理可能。キャリコン理論と日々の生活実践の橋渡しが進んだ日。
16,2026/5/13 (水),阪神が逆転負けしてモヤモヤした。慣れているので気分転換で残りの1日は過ごせたが、内容的には接戦でいいプレイもあり、合計としてはプラスのナイスゲームだったはず。それでもモヤモヤするのはなぜか。人はストーリーで理解する生き物だから。逆転負けには「積み上げが届かなかった悲劇」のナラティブが乗り、それで悔しさが増幅される。ナラティブ理解からの脱却モードも必要だと感じた。,Day8のnarrative fallacyが、他人の語りではなく自分自身の感情に向けて再適用された。眼が外から内に折り返した動きの深化。スポーツ心理学的にはpeak-end rule（Kahneman）が効いていて、逆転負けは「ピーク=リード時の希望」と「終わり=敗北」のコントラストが最大で、ナラティブの悲劇性が最高度になる構造。事実とナラティブを分離すれば、いい試合を見れたという認識に戻れる。ACTのcognitive defusionと同じ動き。,narrative fallacy（Day8）/ cognitive defusion / peak-end rule / 事実とナラティブの分離,感情が動いた時、「これは事実への反応か、ナラティブへの反応か」を問う一拍を入れる。特にスポーツ・ニュース・他者の言動への反応で試す。,Day15とDay16は逆方向の双子。Day15は意図的にナラティブを構築する話、Day16は無意識のナラティブから距離を取る話。順序として(1)感じ切る→(2)距離を取る→(3)意味を編集する、の3段階。逆にやると感情の蓋になる。
17,2026/5/14 (木),好奇心旺盛なことの弊害は、興味があるものに次々手を出して目的を見失うこと、大事なゴールが変わってしまうこと、方向音痴になってしまうこと。それを防ぐために、毎週金曜にNotionを更新してビジョン・ミッション・TODOを管理する習慣を始めることを決めた。毎日だと好奇心の良さが薄れて苦しくなるため、週1の頻度がちょうどいい。,自己理解（好奇心が強い、毎日管理は苦しい）から自己設計（週1点検）への翻訳ができた瞬間。これはサビカス理論のAgent機能の高度な発動形。続かない時の対策：(1)失敗からの復帰ルートを先に決める（Fogg）(2)点検そのものを快楽化／環境とセットで固定（Duhigg）(3)項目を最小に絞り、守破離の守から始める。揺さぶり：週1点検は「管理」ではなく「方向確認」と捉えると、コンフォートゾーン拡張の妨げではなく支える土台になる。,Tiny Habits / 守破離（Day13）/ Agent機能（Day15）/ コンフォートゾーンと最近接発達領域,(a)毎週金曜にNotionを開く運用を開始。最初の1ヶ月は3項目のみ（今週の方向性、来週の最重要TODO3つ、ビジョンから外れてる活動はないか）(b)KISSA ZEROICHIなど好きな環境とセットにする儀式化 (c)スキップ時の復帰ルールを先に決める（金→土→日→翌金）,今日は引っかかりというより、自己管理システムの設計の日。Day1〜16で蓄積した自己理解を運用に翻訳できた節目。
18,2026/5/15 (金),新しく流行るものを早めにキャッチして周りにマウントを取る、という構造が日本の資本主義社会でよく見られる。これを裏返して、既にみんなが知っているのに注目されていないことに焦点を当て「こんな見方ができる」と新しさを生み出す視点アプローチが、今後の差別化ポイントになるかもしれない。自分が過去に惹かれたことを深堀って言語化し、新たな切り口で世にアピールするという方向性を考えたい。,「新しさを取る競争」は永遠に終わらない消耗戦（Bourdieuの卓越化）で、having modeの構造そのもの。それに対し「既存のものに新しい意味を生成する」アプローチはbeing mode・生成側の動き（Day11）。マーケ側ではGrant『Originals』、Sutherland『Alchemy』が「真のオリジナリティは新意味付けから生まれる」と提示。芸術側ではShklovskyの「異化」が100年前から同じ構造を体系化。揺さぶり：新視点の提示も間違うと「視点マウント」になる。Generative Dialogueの精神で共同生成する形に開く。,異化（ostranenie）/ Originals論（Grant）/ Alchemy論（Sutherland）/ 卓越化批判（Bourdieu）/ having→being（Day11）,自分のストック（星野源、SUPER BEAVER、椎名林檎、コーヒー、サウナ、阪神、八尾、教育）の一つひとつに「異化のレンズ」を当てて新意味付けの試作を書く。Instagram発信軸を「情報の希少性ではなく視点の希少性」に。Yononakaを「異化を共同生成する場」として再定義。,将一郎さんが直感で当てた構造（既存のものに新視点を当てる差別化）は、社会学・マーケ・芸術批評で同時に注目されている領域。発信戦略・事業戦略・教育観のすべてを貫く軸として機能する可能性がある。
19,2026/5/16 (土),人より知識があり、俯瞰して物事を見て、一般的な流行や消費で満足できず、共感性が乏しい人がいる。突き詰める方向で力を発揮するが、思い通りにいかなくなった時に生きる目標を見失う傾向がある（実際に友達がそんな感じ）。そういう人にも、漫才的構造が身近にあれば日々のエモーションを楽しみに生きていける。「最悪お笑いになるから精神」で日々を過ごすだけで和んでいく。お笑いは無料のクスリだ。,俯瞰型・突き詰め型の人物の脆さは、Jamison『Touched with Fire』の「強い感受性の表裏」、Frankl『夜と霧』の「意味喪失への脆弱性」として理解できる。お笑いの処方箋効果は医学的に裏付けあり：(a)笑いはβエンドルフィン分泌・痛覚閾値上昇（Dunbar）(b)ボケとツッコミの自己二重化はcognitive defusionの関西版（Kierkegaard：ユーモアは絶望の上位段階）(c)失敗を笑いに変え人に話すことが恥の解毒剤（Brené Brown）。揺さぶり：渦中の友達への適用はタイミング命。否定せず聴く→失意を共有する→ふと笑える瞬間を作る、の順序。,笑いの神経科学（Dunbar）/ ユーモア=絶望の上位段階（Kierkegaard）/ 恥の解毒剤（Brené Brown）/ cognitive defusion関西版（Day16）/ meaning crisis（Frankl）,(a)友達への接し方として、笑いを処方する前にまず失意の場を共有する慎重さを持つ (b)自分の活動全体に通底する「深刻にならずに深いところに行く」漫才的話法を、CLAFT・Yononakaのブランド軸として意識的に運用 (c)Yononakaのテーマ案「失敗を笑いに変える話法ワーク」を構想,将一郎さんの活動全体に通底する「漫才精神」が今日言語化された。深刻なテーマを軽い語り口で深く届ける、というスタイル自体が事業の差別化要因。Day18の異化とも繋がる。
20,2026/5/17 (日),AI社会で身体知や個人の感じ方を言語化することの価値は自明だと思う。日々身体を使って体験し、ざっくりでも言語化することで記憶に留めている。ただ、その行き着く先や意味を求めてしまう自分がいて、それ自体が硬い思考に戻っているとメタ認知して手放そうとしている。指標として「五感を使って感情を揺さぶり、1日の終わりに『あぁ眠たい、やっと寝れる』と思考力と体力を使い果たしたらよし」を立ててみた。西洋OSで生きる現代日本人ビジネスパーソンとして、結果や数字に意味を求めてしまうところから少しずつ脱却したい。,「意味を求めることが意味からの脱却を阻む」というパラドックスは、道元の禅で1500年扱われてきた「禅病」と同型。道元の答えは「只管打坐（ただ座る）」で、目的を持たない時間が目的化された思考から抜ける道。Polanyiの暗黙知（語れる以上を私たちは知っている）と、AI時代に人間に残る独自領域としての身体知。Hadotが指摘した「哲学は本来生き方の実践だった」。「あぁ眠たい」ゴールは(a)結果でなく状態を指標化(b)数値化できない(c)子の感覚に近い、点で西洋OSから抜ける装置。揺さぶり：使い果たしの過剰追求は新たな目的化になる。,只管打坐 / 暗黙知（Polanyi）/ 哲学=生き方の実践（Hadot）/ 西洋OS vs 東洋OS / having→being（Day11）,(a)「あぁ眠たい」ゴールを1週間試行 (b)「使い果たす日」「ゆるむ日」両方OK、意識して選んだか否かを点検軸にする運用 (c)CLAFTやYononakaで身体知の言語化を意図的に組み込むワーク設計を検討,今日の文章は、将一郎さん自身がCLAFTのモットー「囚われをほぐす。こだわりをひらく。」を自分の生活実践として運用しようとしている記録。人に説く前に自分で実践する、教育者として最も正しい順序。
21,2026/5/18 (月),世界規模の戦争が起きる可能性が年々高くなっているのに、可能性を下げるアクションが世界的に考えられていない、という深井龍之介さんの問題提起に納得。その点キープオンのスクール活動は、自律（自分の頭で考え判断し行動できる人を育てる）を一番の目的にしているので、戦争可能性を下げるアクションとして自信を持って言える。自律する個人が増えれば、戦争はもちろん日常の小さな揉め事やストレスも回避できる。スクール継続のためのショップ業務もあるが、流行追従や問題でっち上げで売る道は取りたくない。スクール生増のためにやれること全部やる。,マクロな問題意識→自分の事業の意味の再確認→実行への覚悟、の3層が一本の軸で繋がった。トゥキディデスの罠（Allison）の現状認識と一致。「自律=戦争予防」の直感は、Arendt『エルサレムのアイヒマン』の「悪の凡庸さ」、Fromm『自由からの逃走』のself-authorship育成論と完全に一致。Day1〜20で扱ったテーマすべてが「自律した個人を育てる」一本の軸に収斂していたことが今日見えた。揺さぶり：「やりたくない手段の排除」は明文化されたNGリストとして持ち、残った手段で罪悪感なく全力営業できる構造を作る。,悪の凡庸さ（Arendt）/ self-authorship（Fromm）/ トゥキディデスの罠 / 手段のNGリスト経営 / 急ぎと焦りの区別,(a)自分の事業のNGリストを明文化（流行の浅いなぞり、不安煽り、脅し売り等）し、残った手段で全力営業の構造を作る (b)スクール生増の具体アクションを列挙し、週1Notion点検で進捗管理 (c)「キープオンの活動は戦争予防のアクション」という事業ミッションの言語化を対外発信用に整える,Day1〜20が個別テーマだと思ってきた引っかかりが、すべて「自律した個人を育てる」軸で繋がることが見えた節目の日。事業者としてのミッションが、20世紀最大の政治哲学者の命題と一致するという確信が立った。
22,2026/5/19 (火),細木数子のフィクションを観てEvery Little Thing 2000年頃の音楽を聴きたくなった。当時テレビはマスメディアとして圧倒的影響力を持ち、幸せが一般定義されていた時代。東日本大震災でテレビが弱り、コロナでSNS・YouTube・ゲームが盛り上がり、AI登場で短時間で感情を引き出すコンテンツが氾濫。そんな時代に自分は普遍の価値を提供したい。視野を拓く、囚われをほぐす、こだわりを伸ばす。深めるべきか違うことやるべきか、届ける相手を探すべきか、to Cでお金が集まりにくいのか、迷う。でも書いてるうちにモチベーションは高くなった。,"時代の変化はメディア論でbroadcast→social→algorithmic era（Mir）として整理。事業戦略への4つの問い：(1)深めるか違うことやるかはemergent strategy（Mintzberg）で「軸で繋げ直して見る」が答え（子ども/中高生/保護者/同業者の4チャンネルポートフォリオ）(2)Seth Godin ""smallest viable audience""で熱量を持って語りかけられる相手を一つ選ぶ (3)category design論で独自カテゴリーを定義すれば長く太い顧客が持てる (4)抽象的価値のto C直接マネタイズは構造的に難しい。法人研修・コミュニティ会員制・スクール送客の三本柱が現実的。",broadcast/social/algorithmic era / emergent strategy（Mintzberg）/ smallest viable audience（Godin）/ category design / 間接マネタイズ三本柱,(a)活動を「自律した個人を育てる」軸でポートフォリオ再整理 (b)最も熱量を持って語りかけられるターゲットを一つ特定 (c)独自カテゴリー「囚われをほぐし、こだわりをひらく場」を定義する言葉を磨く (d)インスタを「送客装置・信頼蓄積装置」と割り切る (e)三本柱で間接マネタイズ設計を考える,Day21の「自律した個人を育てる」軸が、今日は事業戦略の文脈で再確認された。思考が散らかってもエネルギーが上がるのは、軸への確信が深まったから。迷いは選択肢が見えてる証拠。
23,2026/5/20 (水),生成AIの進化が日々更新され、使うことで実感し、もっともっとと期待して没頭してしまう。ここに少年のような喜びとわくわくを感じる自分に驚いている。30近くになってからここまでハマるとは思っていなかった。進化や未来への期待感に幸せを感じている。もっと自分もいろんなものを創っていきたい。,30代前半はEriksonのGenerativity vs Stagnationの段階で、「次世代に何を残すか」が中心課題になる時期。この段階で人は子ども時代の遊びの感覚を再起動させる。「30近くだから不思議」ではなく「30近くだからこそ」。Turkleの指摘では、人がAIにハマる時ハマってるのはAIの機能ではなくAIと向き合う時に立ち上がる新しい自分の輪郭。Day13で自己分析した「起業家×教育×クリエイティブ」気質とAI時代の能力が完全に噛み合っている。揺さぶり：期待感を幸せの源泉にすると依存構造になる。「生み出している実感」を主軸にする方が安定する。,Generativity vs Stagnation（Erikson）/ AIとの対話で立ち上がる自分の輪郭（Turkle）/ Day1〜22とAI能力の共鳴 / 期待感は燃料・創造は本体,(a)AIで遊んでいる自分の姿をCLAFTの子どもに見せる。「先生どうやって作ったん？」から始まる対話を自律育成の最短ルートに (b)「深刻にならずに深いところに行く」スタイルをAIを使う時も保つ。少年性を失わない設計 (c)AIで創り続けることを習慣化。期待感ではなく創造の実感に主軸を置く,Day1〜22のテーマがすべてAI時代の能力と共鳴しているという発見が今日の核。多くの起業家は40代で少年性を失う。失わない設計を今のうちにしておくことが、CLAFTの長期的な質を決める。
